ni,x,y,z,active,is_top
17787,525287.786096,772254.611184,500.0,True,False
17788,525383.939942,772421.154531,500.0,True,False
17789,525480.093788,772587.697878,500.0,True,False
17790,525576.247635,772754.241225,500.0,True,False
17791,525672.401481,772920.784572,500.0,True,False
17792,525768.555327,773087.327919,500.0,True,False
17793,525864.709173,773253.871266,500.0,True,False
17794,525960.863019,773420.414612,500.0,True,False
17795,526057.016865,773586.957959,500.0,True,False
17796,526153.170711,773753.501306,500.0,True,False
17797,526249.324558,773920.044653,500.0,True,False
17798,526345.478404,774086.588,500.0,True,False
17799,526441.63225,774253.131347,500.0,True,False
17800,526537.786096,774419.674694,500.0,True,False
17801,526633.939942,774586.218041,500.0,True,False
17802,526730.093788,774752.761388,500.0,True,False
17803,526826.247635,774919.304734,500.0,True,False
17804,526922.401481,775085.848081,500.0,True,False
17805,527018.555327,775252.391428,500.0,True,False
17806,527114.709173,775418.934775,500.0,True,False
17807,527210.863019,775585.478122,500.0,True,False
17808,527307.016865,775752.021469,500.0,True,False
17809,527403.170711,775918.564816,500.0,True,False
17810,527499.324558,776085.108163,500.0,True,False
17811,527595.478404,776251.651509,500.0,True,False
17812,527691.63225,776418.194856,500.0,True,False
17813,527883.939942,776751.28155,500.0,True,False
17814,528268.555327,777417.454938,500.0,True,False
17815,528845.478404,778416.715019,500.0,True,False
17816,529614.709173,779749.061794,500.0,True,False
17817,530576.247635,781414.495263,500.0,True,False
17818,531730.093788,783413.015425,500.0,True,False
17819,533076.247635,785744.622282,500.0,True,False
17820,534614.709173,788409.315832,500.0,True,False
17821,517859.741284,759888.860168,500.0,False,False
17822,519398.202822,762553.553718,500.0,True,True
17823,520744.356668,764885.160575,500.0,True,False
17824,521898.202822,766883.680737,500.0,True,False
17825,522859.741284,768549.114206,500.0,True,False
17826,523628.972053,769881.460981,500.0,True,False
17827,524205.89513,770880.721062,500.0,True,False
17828,524590.510514,771546.89445,500.0,True,False
17829,524782.818207,771879.981144,500.0,True,False
17830,524878.972053,772046.524491,500.0,True,False
17831,524975.125899,772213.067837,500.0,True,False
17832,525071.279745,772379.611184,500.0,True,False
17833,525167.433591,772546.154531,500.0,True,False
17834,525263.587437,772712.697878,500.0,True,False
17835,525359.741284,772879.241225,500.0,True,False
17836,525455.89513,773045.784572,500.0,True,False
17837,525552.048976,773212.327919,500.0,True,False
17838,525648.202822,773378.871266,500.0,True,False
17839,525744.356668,773545.414612,500.0,True,False
17840,525840.510514,773711.957959,500.0,True,False
17841,525936.664361,773878.501306,500.0,True,False
17842,526032.818207,774045.044653,500.0,True,False
17843,526128.972053,774211.588,500.0,True,False
17844,526225.125899,774378.131347,500.0,True,False
17845,526321.279745,774544.674694,500.0,True,False
17846,526417.433591,774711.218041,500.0,True,False
17847,526513.587437,774877.761388,500.0,True,False
17848,526609.741284,775044.304734,500.0,True,False
17849,526705.89513,775210.848081,500.0,True,False
17850,526802.048976,775377.391428,500.0,True,False
17851,526898.202822,775543.934775,500.0,True,False
17852,526994.356668,775710.478122,500.0,True,False
17853,527090.510514,775877.021469,500.0,True,False
17854,527186.664361,776043.564816,500.0,True,False
17855,527282.818207,776210.108163,500.0,True,False
17856,527378.972053,776376.651509,500.0,True,False
17857,527475.125899,776543.194856,500.0,True,False
17858,527667.433591,776876.28155,500.0,True,False
17859,528052.048976,777542.454938,500.0,True,False
17860,528628.972053,778541.715019,500.0,True,False
17861,529398.202822,779874.061794,500.0,True,False
17862,530359.741284,781539.495263,500.0,True,False
17863,531513.587437,783538.015425,500.0,True,False
17864,532859.741284,785869.622282,500.0,True,False
17865,534398.202822,788534.315832,500.0,True,False
17866,517643.234933,760013.860168,500.0,False,False
17867,519181.696471,762678.553718,500.0,True,True
17868,520527.850317,765010.160575,500.0,True,True
17869,521681.696471,767008.680737,500.0,True,False
17870,522643.234933,768674.114206,500.0,True,False
17871,523412.465702,770006.460981,500.0,True,False
17872,523989.388779,771005.721062,500.0,True,False
17873,524374.004163,771671.89445,500.0,True,False
17874,524566.311856,772004.981144,500.0,True,False
17875,524662.465702,772171.524491,500.0,True,False
17876,524758.619548,772338.067837,500.0,True,False
17877,524854.773394,772504.611184,500.0,True,False
17878,524950.92724,772671.154531,500.0,True,False
17879,525047.081087,772837.697878,500.0,True,False
17880,525143.234933,773004.241225,500.0,True,False
17881,525239.388779,773170.784572,500.0,True,False
17882,525335.542625,773337.327919,500.0,True,False
17883,525431.696471,773503.871266,500.0,True,False
17884,525527.850317,773670.414612,500.0,True,False
17885,525624.004163,773836.957959,500.0,True,False
17886,525720.15801,774003.501306,500.0,True,False
17887,525816.311856,774170.044653,500.0,True,False
17888,525912.465702,774336.588,500.0,True,False
17889,526008.619548,774503.131347,500.0,True,False
17890,526104.773394,774669.674694,500.0,True,False
17891,526200.92724,774836.218041,500.0,True,False
17892,526297.081087,775002.761388,500.0,True,False
17893,526393.234933,775169.304734,500.0,True,False
17894,526489.388779,775335.848081,500.0,True,False
17895,526585.542625,775502.391428,500.0,True,False
17896,526681.696471,775668.934775,500.0,True,False
17897,526777.850317,775835.478122,500.0,True,False
17898,526874.004163,776002.021469,500.0,True,False
17899,526970.15801,776168.564816,500.0,True,False
17900,527066.311856,776335.108163,500.0,True,False
17901,527162.465702,776501.651509,500.0,True,False
17902,527258.619548,776668.194856,500.0,True,False
17903,527450.92724,777001.28155,500.0,True,False
17904,527835.542625,777667.454938,500.0,True,False
17905,528412.465702,778666.715019,500.0,True,False
17906,529181.696471,779999.061794,500.0,True,False
17907,530143.234933,781664.495263,500.0,True,False
17908,531297.081087,783663.015425,500.0,True,False
17909,532643.234933,785994.622282,500.0,True,False
17910,534181.696471,788659.315832,500.0,True,False
17911,517426.728582,760138.860168,500.0,False,False
17912,518965.19012,762803.553718,500.0,True,True
17913,520311.343966,765135.160575,500.0,True,True
17914,521465.19012,767133.680737,500.0,True,False
17915,522426.728582,768799.114206,500.0,True,False
17916,523195.959351,770131.460981,500.0,True,False
17917,523772.882428,771130.721062,500.0,True,False
17918,524157.497812,771796.89445,500.0,True,False
17919,524349.805505,772129.981144,500.0,True,False
17920,524445.959351,772296.524491,500.0,True,False
17921,524542.113197,772463.067837,500.0,True,False
17922,524638.267043,772629.611184,500.0,True,False
17923,524734.420889,772796.154531,500.0,True,False
17924,524830.574736,772962.697878,500.0,True,False
17925,524926.728582,773129.241225,500.0,True,False
17926,525022.882428,773295.784572,500.0,True,False
17927,525119.036274,773462.327919,500.0,True,False
17928,525215.19012,773628.871266,500.0,True,False
17929,525311.343966,773795.414612,500.0,True,False
17930,525407.497812,773961.957959,500.0,True,False
17931,525503.651659,774128.501306,500.0,True,False
17932,525599.805505,774295.044653,500.0,True,False
17933,525695.959351,774461.588,500.0,True,False
17934,525792.113197,774628.131347,500.0,True,False
17935,525888.267043,774794.674694,500.0,True,False
17936,525984.420889,774961.218041,500.0,True,False
17937,526080.574736,775127.761388,500.0,True,False
17938,526176.728582,775294.304734,500.0,True,False
17939,526272.882428,775460.848081,500.0,True,False
17940,526369.036274,775627.391428,500.0,True,False
17941,526465.19012,775793.934775,500.0,True,False
17942,526561.343966,775960.478122,500.0,True,False
17943,526657.497812,776127.021469,500.0,True,False
17944,526753.651659,776293.564816,500.0,True,False
17945,526849.805505,776460.108163,500.0,True,False
17946,526945.959351,776626.651509,500.0,True,False
17947,527042.113197,776793.194856,500.0,True,False
17948,527234.420889,777126.28155,500.0,True,False
17949,527619.036274,777792.454938,500.0,True,False
17950,528195.959351,778791.715019,500.0,True,False
17951,528965.19012,780124.061794,500.0,True,False
17952,529926.728582,781789.495263,500.0,True,False
17953,531080.574736,783788.015425,500.0,True,False
17954,532426.728582,786119.622282,500.0,True,False
17955,533965.19012,788784.315832,500.0,True,False
17956,517210.222231,760263.860168,500.0,False,False
17957,518748.683769,762928.553718,500.0,True,True
17958,520094.837615,765260.160575,500.0,True,True
17959,521248.683769,767258.680737,500.0,True,False
17960,522210.222231,768924.114206,500.0,True,False
17961,522979.453,770256.460981,500.0,True,False
17962,523556.376077,771255.721062,500.0,True,False
17963,523940.991462,771921.89445,500.0,True,False
17964,524133.299154,772254.981144,500.0,True,False
17965,524229.453,772421.524491,500.0,True,False
17966,524325.606846,772588.067837,500.0,True,False
17967,524421.760692,772754.611184,500.0,True,False
17968,524517.914538,772921.154531,500.0,True,False
17969,524614.068385,773087.697878,500.0,True,False
17970,524710.222231,773254.241225,500.0,True,False
17971,524806.376077,773420.784572,500.0,True,False
17972,524902.529923,773587.327919,500.0,True,False
17973,524998.683769,773753.871266,500.0,True,False
17974,525094.837615,773920.414612,500.0,True,False
17975,525190.991462,774086.957959,500.0,True,False
17976,525287.145308,774253.501306,500.0,True,False
17977,525383.299154,774420.044653,500.0,True,False
17978,525479.453,774586.588,500.0,True,False
17979,525575.606846,774753.131347,500.0,True,False
17980,525671.760692,774919.674694,500.0,True,False
17981,525767.914538,775086.218041,500.0,True,False
17982,525864.068385,775252.761388,500.0,True,False
17983,525960.222231,775419.304734,500.0,True,False
17984,526056.376077,775585.848081,500.0,True,False
17985,526152.529923,775752.391428,500.0,True,False
17986,526248.683769,775918.934775,500.0,True,False
17987,526344.837615,776085.478122,500.0,True,False
17988,526440.991462,776252.021469,500.0,True,False
17989,526537.145308,776418.564816,500.0,True,False
17990,526633.299154,776585.108163,500.0,True,False
17991,526729.453,776751.651509,500.0,True,False
17992,526825.606846,776918.194856,500.0,True,False
17993,527017.914538,777251.28155,500.0,True,False
17994,527402.529923,777917.454938,500.0,True,False
17995,527979.453,778916.715019,500.0,True,False
17996,528748.683769,780249.061794,500.0,True,False
17997,529710.222231,781914.495263,500.0,True,False
17998,530864.068385,783913.015425,500.0,True,False
17999,532210.222231,786244.622282,500.0,True,False
18000,533748.683769,788909.315832,500.0,True,False
18001,516993.71588,760388.860168,500.0,False,False
18002,518532.177418,763053.553718,500.0,True,True
18003,519878.331264,765385.160575,500.0,True,True
18004,521032.177418,767383.680737,500.0,True,False
18005,521993.71588,769049.114206,500.0,True,False
18006,522762.946649,770381.460981,500.0,True,False
18007,523339.869726,771380.721062,500.0,True,False
18008,523724.485111,772046.89445,500.0,True,False
18009,523916.792803,772379.981144,500.0,True,False
18010,524012.946649,772546.524491,500.0,True,False
18011,524109.100495,772713.067837,500.0,True,False
18012,524205.254341,772879.611184,500.0,True,False
18013,524301.408188,773046.154531,500.0,True,False
18014,524397.562034,773212.697878,500.0,True,False
18015,524493.71588,773379.241225,500.0,True,False
18016,524589.869726,773545.784572,500.0,True,False
18017,524686.023572,773712.327919,500.0,True,False
18018,524782.177418,773878.871266,500.0,True,False
18019,524878.331264,774045.414612,500.0,True,False
18020,524974.485111,774211.957959,500.0,True,False
18021,525070.638957,774378.501306,500.0,True,False
18022,525166.792803,774545.044653,500.0,True,False
18023,525262.946649,774711.588,500.0,True,False
18024,525359.100495,774878.131347,500.0,True,False
18025,525455.254341,775044.674694,500.0,True,False
18026,525551.408188,775211.218041,500.0,True,False
18027,525647.562034,775377.761388,500.0,True,False
18028,525743.71588,775544.304734,500.0,True,False
18029,525839.869726,775710.848081,500.0,True,False
18030,525936.023572,775877.391428,500.0,True,False
18031,526032.177418,776043.934775,500.0,True,False
18032,526128.331264,776210.478122,500.0,True,False
18033,526224.485111,776377.021469,500.0,True,False
18034,526320.638957,776543.564816,500.0,True,False
18035,526416.792803,776710.108163,500.0,True,False
18036,526512.946649,776876.651509,500.0,True,False
18037,526609.100495,777043.194856,500.0,True,False
18038,526801.408188,777376.28155,500.0,True,False
18039,527186.023572,778042.454938,500.0,True,False
18040,527762.946649,779041.715019,500.0,True,False
18041,528532.177418,780374.061794,500.0,True,False
18042,529493.71588,782039.495263,500.0,True,False
18043,530647.562034,784038.015425,500.0,True,False
18044,531993.71588,786369.622282,500.0,True,False
18045,533532.177418,789034.315832,500.0,True,False
18046,516777.209529,760513.860168,500.0,False,False
18047,518315.671067,763178.553718,500.0,True,True
18048,519661.824913,765510.160575,500.0,True,True
18049,520815.671067,767508.680737,500.0,True,False
18050,521777.209529,769174.114206,500.0,True,False
18051,522546.440298,770506.460981,500.0,True,False
18052,523123.363375,771505.721062,500.0,True,False
18053,523507.97876,772171.89445,500.0,True,False
18054,523700.286452,772504.981144,500.0,True,False
18055,523796.440298,772671.524491,500.0,True,False
18056,523892.594144,772838.067837,500.0,True,False
18057,523988.74799,773004.611184,500.0,True,False
18058,524084.901837,773171.154531,500.0,True,False
18059,524181.055683,773337.697878,500.0,True,False
18060,524277.209529,773504.241225,500.0,True,False
18061,524373.363375,773670.784572,500.0,True,False
18062,524469.517221,773837.327919,500.0,True,False
18063,524565.671067,774003.871266,500.0,True,False
18064,524661.824913,774170.414612,500.0,True,False
18065,524757.97876,774336.957959,500.0,True,False
18066,524854.132606,774503.501306,500.0,True,False
18067,524950.286452,774670.044653,500.0,True,False
18068,525046.440298,774836.588,500.0,True,False
18069,525142.594144,775003.131347,500.0,True,False
18070,525238.74799,775169.674694,500.0,True,False
18071,525334.901837,775336.218041,500.0,True,False
18072,525431.055683,775502.761388,500.0,True,False
18073,525527.209529,775669.304734,500.0,True,False
18074,525623.363375,775835.848081,500.0,True,False
18075,525719.517221,776002.391428,500.0,True,False
18076,525815.671067,776168.934775,500.0,True,False
18077,525911.824913,776335.478122,500.0,True,False
18078,526007.97876,776502.021469,500.0,True,False
18079,526104.132606,776668.564816,500.0,True,False
18080,526200.286452,776835.108163,500.0,True,False
18081,526296.440298,777001.651509,500.0,True,False
18082,526392.594144,777168.194856,500.0,True,False
18083,526584.901837,777501.28155,500.0,True,False
18084,526969.517221,778167.454938,500.0,True,False
18085,527546.440298,779166.715019,500.0,True,False
18086,528315.671067,780499.061794,500.0,True,False
18087,529277.209529,782164.495263,500.0,True,False
18088,530431.055683,784163.015425,500.0,True,False
18089,531777.209529,786494.622282,500.0,True,False
18090,533315.671067,789159.315832,500.0,True,False
18091,516560.703178,760638.860168,500.0,True,True
18092,518099.164716,763303.553718,500.0,True,True
18093,519445.318563,765635.160575,500.0,True,True
18094,520599.164716,767633.680737,500.0,True,False
18095,521560.703178,769299.114206,500.0,True,False
18096,522329.933947,770631.460981,500.0,True,False
18097,522906.857024,771630.721062,500.0,True,False
18098,523291.472409,772296.89445,500.0,True,False
18099,523483.780101,772629.981144,500.0,True,False
18100,523579.933947,772796.524491,500.0,True,False
18101,523676.087793,772963.067837,500.0,True,False
18102,523772.241639,773129.611184,500.0,True,False
18103,523868.395486,773296.154531,500.0,True,False
18104,523964.549332,773462.697878,500.0,True,False
18105,524060.703178,773629.241225,500.0,True,False
18106,524156.857024,773795.784572,500.0,True,False
18107,524253.01087,773962.327919,500.0,True,False
18108,524349.164716,774128.871266,500.0,True,False
18109,524445.318563,774295.414612,500.0,True,False
18110,524541.472409,774461.957959,500.0,True,False
18111,524637.626255,774628.501306,500.0,True,False
18112,524733.780101,774795.044653,500.0,True,False
18113,524829.933947,774961.588,500.0,True,False
18114,524926.087793,775128.131347,500.0,True,False
18115,525022.241639,775294.674694,500.0,True,False
18116,525118.395486,775461.218041,500.0,True,False
18117,525214.549332,775627.761388,500.0,True,False
18118,525310.703178,775794.304734,500.0,True,False
18119,525406.857024,775960.848081,500.0,True,False
18120,525503.01087,776127.391428,500.0,True,False
18121,525599.164716,776293.934775,500.0,True,False
18122,525695.318563,776460.478122,500.0,True,False
18123,525791.472409,776627.021469,500.0,True,False
18124,525887.626255,776793.564816,500.0,True,False
18125,525983.780101,776960.108163,500.0,True,False
